nom_dept;nom_com;insee_com;nom_station;code_station (ue);influence;nom_poll;id_poll_ue;valeur;unite;metrique;date_debut;date_fin;statut_valid;x_wgs84;y_wgs84;x_reglementaire;y_reglementaire
Loire-Atlantique;Nantes;44109;CIM BOUTEILLERIE;FR23188;background;PM10;5;23.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.5374268258113177;47.22217589146574;356823.8361417605;6690071.409167136
Loire-Atlantique;Nantes;44109;CIM BOUTEILLERIE;FR23188;background;PM2.5;6001;18.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.5374268258113177;47.22217589146574;356823.8361417605;6690071.409167136
Loire-Atlantique;Nantes;44109;CIM BOUTEILLERIE;FR23188;background;PUF;;8658.0;P/cm3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.5374268258113177;47.22217589146574;356823.8361417605;6690071.409167136
Loire-Atlantique;Pornichet;44132;GASPARD;FR23230;background;O3;7;38.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-2.3320669999999977;47.253055999964715;297039.3525861991;6697249.291127122
Loire-Atlantique;Rezé;44143;TRENTEMOULT;FR23238;specific;NO2;8;23.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.5816779999999988;47.194146999964396;353300.20766508416;6687156.526597275
Loire-Atlantique;Rezé;44143;TRENTEMOULT;FR23238;specific;NO;38;4.9;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.5816779999999988;47.194146999964396;353300.20766508416;6687156.526597275
Loire-Atlantique;Rezé;44143;TRENTEMOULT;FR23238;specific;NOx;9;30.0;µg/m3 eq NO2;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.5816779999999988;47.194146999964396;353300.20766508416;6687156.526597275
Loire-Atlantique;Rezé;44143;TRENTEMOULT;FR23238;specific;PM10;5;22.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.5816779999999988;47.194146999964396;353300.20766508416;6687156.526597275
Loire-Atlantique;Rezé;44143;TRENTEMOULT;FR23238;specific;PM2.5;6001;19.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.5816779999999988;47.194146999964396;353300.20766508416;6687156.526597275
Loire-Atlantique;Bouguenais;44020;LES COUETS;FR23239;industrial;NO2;8;29.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.591496999999999;47.18591899996436;352504.9179813179;6686287.290819376
Loire-Atlantique;Bouguenais;44020;LES COUETS;FR23239;industrial;NO;38;6.3;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.591496999999999;47.18591899996436;352504.9179813179;6686287.290819376
